date	open	max	min	close
2015/6/26	23.65	28.38	23.65	28.38
2015/6/29	31.22	31.22	29.18	31.22
2015/6/30	30.68	34.34	29.18	34.34
2015/7/1	36	37.3	34.03	34.82
2015/7/2	35.8	35.88	31.35	31.42
2015/7/3	30.01	33.3	28.31	29.6
2015/7/6	32.56	32.56	29.8	31.95
2015/7/7	30	30.9	28.76	28.76
2015/7/8	25.88	25.88	25.88	25.88
2015/7/9	23.29	28.47	23.29	28.47
2015/7/10	28.5	31.32	28.47	31.32
2015/7/13	31.5	33.98	30.38	32.82
2015/7/14	31.35	32.25	29.95	30.38
2015/7/15	29.56	30.38	27.34	27.34
2015/7/16	26.55	28.75	25.7	27.64
2015/7/17	27.65	29.88	27.33	29.36
2015/7/20	29	29.26	28	28.37
2015/7/21	27.89	29.58	27.51	28.71
2015/7/22	28.78	29.5	28.49	28.64
2015/7/23	28.68	29.98	28.51	29.59
2015/7/24	29.78	29.86	28.17	28.41
2015/7/27	27.5	27.97	25.57	25.57
2015/7/28	24.24	28.13	23.48	27.72
2015/7/29	27.5	27.77	26.2	27.69
2015/7/30	27.1	28.11	26.5	26.66
2015/7/31	26.18	27.13	25.8	26.38
2015/8/3	25.95	26.45	25.18	26.22
2015/8/4	26.22	27.27	25.91	27.12
2015/8/5	26.8	27	26.18	26.22
2015/8/6	25.78	26.55	25.58	25.77
2015/8/7	25.76	26.49	25.76	26.09
2015/8/10	26.21	28.08	25.88	27.54
2015/8/11	27.19	27.64	26.9	26.99
2015/8/12	26.78	27.73	26.65	26.87
2015/8/13	26.87	27.3	26.38	27.05
2015/8/14	27.23	27.46	26.91	27.08
2015/8/17	26.98	27.06	26.02	26.43
2015/8/18	26.58	27.5	24.1	24.56
2015/8/19	24.09	25.1	23.69	25.07
2015/8/20	24.8	24.9	24	24.08
2015/8/21	23.72	24.04	23	23.16
2015/8/24	22.01	22.49	20.84	20.84
2015/8/25	19.25	20.17	18.76	18.76
2015/8/26	19.28	20.25	18.2	18.95
2015/8/27	19.51	20.29	18.8	20.24
2015/8/28	20.3	21.27	19.9	21.14
2015/8/31	21	21	19.7	19.99
2015/9/1	19.9	20.89	18.76	19.67
2015/9/2	18.88	20.08	18.5	18.71
2015/9/7	19.02	19.72	18.8	18.94
2015/9/8	18.9	20.08	18.76	19.98
2015/9/9	19.99	20.97	19.82	20.51
2015/9/10	20.13	20.27	19.71	19.82
2015/9/11	19.79	20.06	19.48	19.66
2015/9/14	19.77	19.78	18	18.25
2015/9/15	18	18.46	17.5	17.55
2015/9/16	17.61	19.13	17.45	18.98
2015/9/17	18.65	19.3	18.35	18.43
2015/9/18	18.65	18.76	18.27	18.53
2015/9/21	18.1	18.96	18	18.89
2015/9/22	19.2	20.25	19.04	20.02
2015/9/23	19.54	19.81	19.05	19.14
2015/9/24	19.26	19.36	18.88	19.05
2015/9/25	18.88	19.09	18.27	18.4
2015/9/28	18.43	18.79	18.11	18.76
2015/9/29	18.37	19.05	18.13	18.51
2015/9/30	18.55	18.99	18.48	18.6
2015/10/8	19.6	19.62	19.17	19.22
2015/10/9	19.22	19.96	19.18	19.68
2015/10/12	19.8	20.96	19.58	20.59
2015/10/13	20.31	20.48	20.02	20.29
2015/10/14	20.15	20.59	20.01	20.02
2015/10/15	19.95	20.64	19.91	20.62
2015/10/16	20.88	21.24	20.58	21.04
2015/10/19	21.1	22.25	21.1	21.62
2015/10/20	21.58	21.76	21.05	21.71
2015/10/21	21.79	21.9	20.07	20.3
2015/10/22	20.2	20.61	19.93	20.58
2015/10/23	20.84	21.35	20.5	21.28
2015/10/26	21.9	22.2	21.41	21.65
2015/10/27	21.05	21.68	20.7	21.58
2015/10/28	21.3	21.68	20.82	20.86
2015/10/29	20.85	21.1	20.59	20.81
2015/10/30	20.92	21.88	20.72	21.3
2015/11/2	20.9	21.43	20.75	20.79
